id,naslov,cena,velikost,prodajalec
6059139,"LJ. ŠIŠKA, DRAVLJE, BRILEJEVA",155000.00,76.00,Mikljiè-Hribar Company d.o.o.
6059246,LJ. CENTER,155000.00,64.10,Rojal invest d.o.o.
6027950,LJ. CENTER,155000.00,50.90,Mernet d.o.o.
6029452,LJ. CENTER,155000.00,64.00,DVOREC POSREDNIŠKA HIŠA d.o.o.
6061354,"LJ. ŠIŠKA, CELOVŠKA",155000.00,65.10,Makra as Marko Krajner s.p.
5824901,"LJ. CENTER, GORNJI TRG",155000.00,65.00,Zasebna ponudba
6042550,"LJ. MOSTE, KODELJEVO, Z GARAŽO",155000.00,70.00,Mreža nepremiènin d.o.o.
6033218,KODELJEVO,155000.00,69.60,ABC nepremiènine d.o.o.
6012840,"LJ. CENTER, MESTNI TRG",154000.00,45.40,Garant - Gabrijela Smuk s.p.
6053715,"LJ. ŠIŠKA, KINO",154000.00,65.00,Fortuna int. d.o.o.
6053689,LJ. ŠIŠKA,153800.00,72.10,"Stoja trade, d.o.o., Ljubljana"
6051972,"LJ. BEŽIGRAD, ATRIJSKO, GLINŠKOVA PLOŠÈAD",153000.00,60.00,Tanal d.o.o.
6053089,LJ. ŠIŠKA,152100.00,76.50,"Stoja trade, d.o.o., Ljubljana"
6045175,"LJ. BEŽIGRAD, GLINŠKOVA PLOŠÈAD",152000.00,60.20,LJUBLJANA NEPREMIÈNINE d.o.o.
6048752,LJ. BEŽIGRAD,152000.00,66.50,"Stoja trade, d.o.o., Ljubljana"
6055565,ÈRNUÈE,152000.00,66.50,Mreža nepremiènin d.o.o.
6060574,"LJ. BEŽIGRAD, PLAVA LAGUNA",151000.00,58.20,MESTO NEPREMIÈNIN d.o.o.
6010104,TRNOVO,150000.00,53.20,LJUBLJANA NEPREMIÈNINE d.o.o.
5995107,DRAVLJE,150000.00,72.70,LJUBLJANA NEPREMIÈNINE d.o.o.
6049284,DRAVLJE,150000.00,72.60,Roni nepremiènine d.o.o.
6057515,"LJ. BEŽIGRAD, VOJKOVA",150000.00,81.00,"""NOTE"" poslovne storitve Polona Bobera s.p."
6060744,"LJ. ŠIŠKA, Z ATRIJEM",150000.00,62.00,Neptun nepremiènine - Borut Vodopivec s.p.
6013120,"LJ. CENTER, LJUBLJANICA - ŽITNI MOST",150000.00,73.60,"Zaltis, d.o.o., Ljubljana"
6044543,"LJ. BEŽIGRAD, FABIANIJEVA",150000.00,61.30,Kristal nepremiènine d.o.o.
6060684,LJ. BEŽIGRAD,150000.00,45.00,Zasebna ponudba
6023381,"TRNOVO, KOLEZIJA",150000.00,50.00,Zasebna ponudba
6059901,"PRŽAN, 2 KM OD OBVOZNICE, OB GOZDU",149900.00,212.00,Zasebna ponudba
6061582,"LJ. BEŽIGRAD, LUŽIŠKO SRBSKA ULICA 7 NOVO",149900.00,56.00,Proint d.o.o.
5947540,"RUDNIK, KNEZOV ŠTRADON",149600.00,67.00,"Nepremièninska agencija ""TLORIS"" Miro Toriæ s.p., Poslovna enota"
6037585,ŠENTVID,149500.00,147.00,"RE/MAX Premium, Celje, Nepremièninska družba, d.o.o."
5961693,LJ. ŠIŠKA,149000.00,59.40,Inalbea d.o.o.
6027045,"ÈRNUÈE, DUNAJSKA 319",149000.00,79.80,"REMAX Vogal, Nepremièninska družba, d.o.o."
6031139,LJ. ŠIŠKA,149000.00,89.00,DVOREC POSREDNIŠKA HIŠA d.o.o.
6061387,LJ. BEŽIGRAD,149000.00,72.80,"STAN nepremiènine d.o.o., Ljubljana"
6057511,"BS 3, PUHOVA",149000.00,66.10,MKA nepremiènine d.o.o.
6059368,"ŠENTVID, ZVEZDA 12",149000.00,81.00,Heta Asset Resolution d.o.o.
6053691,LJ. ŠIŠKA,148200.00,74.50,"Stoja trade, d.o.o., Ljubljana"
6045634,"LJ. BEŽIGRAD, ÈRNUÈE, SAVSKI BREG",148000.00,62.00,Mikljiè-Hribar Company d.o.o.
6045607,"LJ. BEŽIGRAD, ÈRNUÈE, SAVSKI BREG",148000.00,62.00,Mikljiè-Hribar Company d.o.o.
6057746,"ÈRNUÈE, KOROŠKEGA BATALJONA",148000.00,64.31,K2 finance d.o.o.
6058618,LJ. ŠIŠKA,148000.00,77.40,"STAN nepremiènine d.o.o., Ljubljana"
5953705,LJ. MOSTE,148000.00,75.20,DVOREC POSREDNIŠKA HIŠA d.o.o.
6056832,NOVE JARŠE,148000.00,73.70,MKA nepremiènine d.o.o.
5933331,"LJ. ŠIŠKA, DRAVLJE",147000.00,73.00,Pogodba nepremiènine in pravno svetovanje d.o.o.
5641420,LJ. BEŽIGRAD,146000.00,78.16,Nepremiènine Plus d.o.o.
5996409,"ŠENTVID, SELANOV TRG",146000.00,76.00,NeSta d.o.o.
6054213,LJ. ŠIŠKA,145900.00,76.40,"Stoja trade, d.o.o., Ljubljana"
5967380,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",145850.00,73.08,LIN nepremiènine d.o.o.
6046939,"KODELJEVO, POVŠETOVA ULICA",145000.00,67.15,"HISTAN, posredovanje z nepremièninami Vlasta Šinkovec s.p."
6034821,"LJ. ŠIŠKA, PODUTIK",145000.00,89.40,LJUBLJANA NEPREMIÈNINE d.o.o.
6051490,"LJ. BEŽIGRAD, BLIŽINA FAKULTET - BS3",145000.00,53.17,Realia d.o.o.
6056957,LJ. BEŽIGRAD,145000.00,56.50,MESTO NEPREMIÈNIN d.o.o.
6058474,"KOSEZE, UL. BRATOV UÈAKAR, ATRIJSKO",145000.00,55.40,"Gratek, Kohne in partner k.d."
